site,config,seed,norm_MSE,norm_MAE,raw_MSE,best_epoch,n_params
67,Frozen,44,0.143680140376091,0.2601712942123413,0.7481377720832825,23,72184
67,Frozen,55,0.1159536391496658,0.2349933087825775,0.6037668585777283,23,72184
67,LinearCalib,42,0.1603400558233261,0.2647044062614441,0.8348853588104248,45,72191
67,LinearCalib,123,0.1364433616399765,0.2513670921325683,0.7104561924934387,35,72191
67,LinearCalib,456,0.1112654656171798,0.2300588935613632,0.5793555974960327,26,72191
67,LinearCalib,789,0.149672269821167,0.2818051874637604,0.7793384790420532,21,72191
67,LinearCalib,2026,0.1170739978551864,0.2397566437721252,0.6096004247665405,23,72191
67,LinearCalib,11,0.1630501002073288,0.2802940607070923,0.8489965200424194,21,72191
67,LinearCalib,22,0.1264166980981826,0.2425074875354766,0.6582474708557129,37,72191
67,LinearCalib,33,0.1213097795844078,0.2409479469060897,0.6316559910774231,27,72191
67,LinearCalib,44,0.1399870365858078,0.2720101773738861,0.7289080023765564,15,72191
67,LinearCalib,55,0.1331503540277481,0.2442539781332016,0.6933096051216125,32,72191
79,FC,42,0.1878141313791275,0.2974509298801422,1.6686981916427612,37,72232
79,FC,123,0.1853141337633133,0.2923296093940735,1.6464858055114746,33,72232
79,FC,456,0.1899515986442566,0.3106426894664764,1.687688946723938,13,72232
79,FC,789,0.1542440205812454,0.2697197198867798,1.3704330921173096,24,72232
79,FC,2026,0.2126196324825287,0.3242137432098388,1.8890905380249023,25,72232
79,FC,11,0.1840595453977584,0.3101161122322082,1.6353389024734497,10,72232
79,FC,22,0.1951245814561844,0.3077493011951446,1.7336500883102417,20,72232
79,FC,33,0.2556287050247192,0.3488011062145233,2.2712197303771973,19,72232
79,FC,44,0.1694226861000061,0.2921136319637298,1.5052930116653442,34,72232
79,FC,55,0.1792086213827133,0.3032785952091217,1.5922393798828125,8,72232
79,KANConv_M5,42,0.1954673081636428,0.3251616656780243,1.7366952896118164,15,72227
79,KANConv_M5,123,0.1465539783239364,0.2638314366340637,1.3021080493927002,20,72227
79,KANConv_M5,456,0.1747765243053436,0.2851808965206146,1.5528607368469238,25,72227
79,KANConv_M5,789,0.1947429031133651,0.3111799955368042,1.730258822441101,19,72227
79,KANConv_M5,2026,0.2161043584346771,0.3434422314167022,1.9200518131256104,14,72227
79,KANConv_M5,11,0.2066812366247177,0.3250440955162048,1.8363288640975952,18,72227
79,KANConv_M5,22,0.159680038690567,0.2790045440196991,1.418731451034546,24,72227
79,KANConv_M5,33,0.2078205645084381,0.3148109912872314,1.8464516401290887,24,72227
79,KANConv_M5,44,0.1785173863172531,0.2870443165302276,1.5860977172851562,26,72227
79,KANConv_M5,55,0.147520512342453,0.2651895582675934,1.310695767402649,24,72227
79,Shared,42,0.1897242218255996,0.3109659552574157,1.6856688261032104,9,72190
79,Shared,123,0.1826843321323394,0.2856751680374145,1.6231205463409424,36,72190
79,Shared,456,0.1595339328050613,0.2798405289649963,1.4174330234527588,16,72190
79,Shared,789,0.1894423365592956,0.2998560667037964,1.683164119720459,24,72190
79,Shared,2026,0.202847734093666,0.3055987358093261,1.8022691011428835,34,72190
79,Shared,11,0.164076343178749,0.2881327867507934,1.4577915668487549,14,72190
79,Shared,22,0.1898558437824249,0.3036338984966278,1.6868382692337036,39,72190
79,Shared,33,0.1721624732017517,0.2928128838539123,1.5296355485916138,22,72190
79,Shared,44,0.1894056349992752,0.3107105195522308,1.6828382015228271,21,72190
79,Shared,55,0.1756682246923446,0.2860923707485199,1.5607835054397583,28,72190
79,Kernel,42,0.2872735857963562,0.3949844539165497,2.5523791313171387,8,77266
