,Active_Power,GHI,DHI,Temperature,Humidity,Wind_Speed,WD_sin,WD_cos,has_wind,delta_t
2016-11-27 06:30:00,0.27273334066073,53.826412200928,39.097806294759,15.846744855244665,42.97078704833999,2.1866457462311,-0.3465979000762424,0.9380138035566102,0,15.0
2016-11-27 06:45:00,0.41093330581982995,117.89490509033367,28.649674097696998,17.384706497192337,38.947297414144,2.1866457462311,-0.9010467452428901,0.4337219880144358,0,15.0
2016-11-27 07:00:00,0.7186444600423166,247.99396260579667,29.118217468261665,19.106683095296003,31.868916829426997,2.1866457462311,-0.619820802768546,0.7847433800009753,0,15.0
2016-11-27 07:15:00,1.1603111028671333,342.4052734375,32.183839162190665,22.285396575927667,24.27971331278467,2.1866457462311,-0.8363022176140543,0.5482687304723979,0,15.0
2016-11-27 07:30:00,1.5493999322255334,422.8404744466167,37.762395222982,23.134242375691667,19.593132654825666,2.1866457462311,-0.3758168598143142,0.9266939558879771,0,15.0
2016-11-27 07:45:00,1.9248443444569665,487.45748901367,41.42456436157266,24.290096282959,16.563896179199002,2.1866457462311,-0.3900799249580142,0.920781001185814,0,15.0
2016-11-27 08:00:00,2.2951333522796666,554.4971720377599,48.661908467610665,24.874595006307334,14.18786239624,2.1866457462311,-0.574558441026214,0.8184635592654853,0,15.0
2016-11-27 08:15:00,2.6414887905120996,616.3737996419267,50.19320424397767,25.515608469645333,13.817626953125,2.1866457462311,-0.5005943093522519,0.8656820071158589,0,15.0
2016-11-27 08:30:00,2.9821778933206997,677.4395751953133,56.197723388671996,25.911888758341664,13.163288116455,2.1866457462311,-0.4134485338382444,0.9105274899018734,0,15.0
2016-11-27 08:45:00,3.2979998588562,738.8833821614567,61.278892517089666,26.746107101440334,12.690339724222667,2.1866457462311,-0.5261431145539776,0.8503960389180091,0,15.0
2016-11-27 09:00:00,3.540489196777333,793.3877563476567,66.41330464681,27.272726058960334,12.281366984049333,2.1866457462311,-0.6262788439129537,0.7795991339573526,0,15.0
