site,scale,config,seed,ep,val_mse,test_mse
212,0.5,cand_wide,42,36,0.07341907918453217,0.10942506790161133
212,0.5,cand_wide,123,36,0.07791095227003098,0.11411432921886444
212,0.5,cand_wide,456,36,0.07363433390855789,0.10944919288158417
212,0.5,cand_wide,789,36,0.07430491596460342,0.10218286514282227
212,0.5,cand_wide,2026,36,0.0769864171743393,0.11093508452177048
212,0.5,cand_wide,11,36,0.07932940125465393,0.11196734756231308
212,0.5,cand_wide,22,36,0.0699361264705658,0.11183036863803864
212,0.5,cand_wide,33,36,0.07298608124256134,0.10536224395036697
212,0.5,cand_wide,44,36,0.07758902758359909,0.10877776890993118
212,0.5,cand_wide,55,36,0.07769528031349182,0.10475372523069382
212,1.0,default,42,16,0.08251246809959412,0.14577825367450714
212,1.0,default,123,16,0.07124835252761841,0.13323548436164856
212,1.0,default,456,16,0.06773648411035538,0.1432189792394638
212,1.0,default,789,16,0.0852336511015892,0.14582760632038116
212,1.0,default,2026,16,0.08154617995023727,0.14042724668979645
212,1.0,default,11,16,0.07047858834266663,0.13442669808864594
212,1.0,default,22,16,0.07338284701108932,0.13819852471351624
212,1.0,default,33,16,0.07483235001564026,0.13644778728485107
212,1.0,default,44,16,0.07314814627170563,0.13762791454792023
212,1.0,default,55,16,0.08311387151479721,0.1416696161031723
212,1.0,cand_mid,42,16,0.08814384788274765,0.13492245972156525
212,1.0,cand_mid,123,16,0.08015698939561844,0.14227305352687836
212,1.0,cand_mid,456,16,0.0900450348854065,0.1476431041955948
212,1.0,cand_mid,789,16,0.07677136361598969,0.1384284347295761
212,1.0,cand_mid,2026,16,0.08776641637086868,0.1435263752937317
212,1.0,cand_mid,11,16,0.08149666339159012,0.1422315090894699
212,1.0,cand_mid,22,16,0.07588645815849304,0.14505907893180847
212,1.0,cand_mid,33,16,0.07745319604873657,0.13771425187587738
212,1.0,cand_mid,44,16,0.07616239041090012,0.14610493183135986
212,1.0,cand_mid,55,16,0.07743167132139206,0.1385006308555603
212,1.0,cand_big,42,16,0.07611530274152756,0.1374078243970871
212,1.0,cand_big,123,16,0.07638469338417053,0.1350902020931244
212,1.0,cand_big,456,16,0.070530466735363,0.13368946313858032
212,1.0,cand_big,789,16,0.07804439216852188,0.1360698789358139
212,1.0,cand_big,2026,16,0.07782886922359467,0.1399356573820114
212,1.0,cand_big,11,16,0.07500316947698593,0.1312595009803772
212,1.0,cand_big,22,16,0.07089436054229736,0.14099757373332977
212,1.0,cand_big,33,16,0.0761071965098381,0.13820438086986542
212,1.0,cand_big,44,16,0.07592467218637466,0.13389359414577484
212,1.0,cand_big,55,16,0.08129945397377014,0.14005137979984283
