site,config,seed,norm_MSE,norm_MAE,raw_MSE
79,M5_NoLSTM,456,0.17493528,0.35306323,1.5542715
79,M5_NoLSTM,789,0.18704887,0.3372805,1.6618987
79,M5_NoLSTM,2026,0.17780535,0.33312687,1.5797715
79,M5_NoLSTM,11,0.1887599,0.3544046,1.6771008
79,M5_NoLSTM,22,0.17681463,0.33131507,1.5709696
79,M5_NoLSTM,33,0.17894684,0.33078423,1.5899136
79,M5_NoLSTM,44,0.15027203,0.29746327,1.3351423
79,M5_NoLSTM,55,0.1637069,0.3246898,1.454509
LSKN,FC_NoLSTM,42,0.15863274,0.30329546,120701464.0
LSKN,FC_NoLSTM,123,0.13589033,0.27781644,103397080.0
LSKN,FC_NoLSTM,456,0.1535412,0.30288944,116827390.0
LSKN,FC_NoLSTM,789,0.1643362,0.3094399,125041160.0
LSKN,FC_NoLSTM,2026,0.15119076,0.2850845,115038980.0
LSKN,FC_NoLSTM,11,0.17107646,0.3256755,130169736.0
LSKN,FC_NoLSTM,22,0.14912103,0.29218528,113464150.0
LSKN,FC_NoLSTM,33,0.14831433,0.28951716,112850340.0
LSKN,FC_NoLSTM,44,0.15851623,0.31593773,120612820.0
LSKN,FC_NoLSTM,55,0.16501977,0.31289002,125561270.0
LSKN,M5_NoLSTM,42,0.1337068,0.27242512,101735650.0
LSKN,M5_NoLSTM,123,0.15337454,0.30405852,116700560.0
LSKN,M5_NoLSTM,456,0.13731764,0.26857543,104483090.0
LSKN,M5_NoLSTM,789,0.13751465,0.27925065,104633000.0
LSKN,M5_NoLSTM,2026,0.1404648,0.27186105,106877740.0
LSKN,M5_NoLSTM,11,0.13290255,0.265293,101123720.0
LSKN,M5_NoLSTM,22,0.14120093,0.2866202,107437850.0
LSKN,M5_NoLSTM,33,0.15007304,0.29580426,114188530.0
LSKN,M5_NoLSTM,44,0.13987958,0.26409984,106432460.0
LSKN,M5_NoLSTM,55,0.14967473,0.30454755,113885450.0
SQ1,FC_NoLSTM,42,0.16398823,0.30025128,31345438.0
SQ1,FC_NoLSTM,123,0.1588363,0.29168782,30360676.0
SQ1,FC_NoLSTM,456,0.15255116,0.29262146,29159308.0
SQ1,FC_NoLSTM,789,0.15414356,0.28573656,29463688.0
SQ1,FC_NoLSTM,2026,0.16442871,0.29280725,31429636.0
SQ1,FC_NoLSTM,11,0.16886717,0.31464392,32278024.0
SQ1,FC_NoLSTM,22,0.16129409,0.31370714,30830468.0
SQ1,FC_NoLSTM,33,0.15727814,0.29455566,30062842.0
SQ1,FC_NoLSTM,44,0.17158733,0.32459995,32797970.0
SQ1,FC_NoLSTM,55,0.15566999,0.2956911,29755454.0
SQ1,M5_NoLSTM,42,0.1484164,0.28015634,28368968.0
SQ1,M5_NoLSTM,123,0.16294764,0.31346416,31146538.0
SQ1,M5_NoLSTM,456,0.15387008,0.28825197,29411410.0
SQ1,M5_NoLSTM,789,0.14444341,0.273026,27609560.0
SQ1,M5_NoLSTM,2026,0.15779345,0.30410004,30161342.0
SQ1,M5_NoLSTM,11,0.14257576,0.28031576,27252566.0
SQ1,M5_NoLSTM,22,0.17061709,0.32546636,32612514.0
SQ1,M5_NoLSTM,33,0.1427289,0.2782885,27281836.0
SQ1,M5_NoLSTM,44,0.15655933,0.28264752,29925446.0
SQ1,M5_NoLSTM,55,0.14710622,0.30257875,28118540.0
UG7,FC_NoLSTM,42,0.17782511,0.30665314,27820008.0
UG7,FC_NoLSTM,123,0.1883684,0.30393973,29469462.0
UG7,FC_NoLSTM,456,0.22216521,0.341425,34756830.0
UG7,FC_NoLSTM,789,0.17776273,0.2954374,27810250.0
UG7,FC_NoLSTM,2026,0.21798132,0.34740362,34102280.0
UG7,FC_NoLSTM,11,0.20931342,0.33252928,32746230.0
UG7,FC_NoLSTM,22,0.19135308,0.30536616,29936400.0
UG7,FC_NoLSTM,33,0.19525807,0.30160493,30547324.0
UG7,FC_NoLSTM,44,0.1830996,0.32644016,28645178.0
UG7,FC_NoLSTM,55,0.18331265,0.29822308,28678506.0
UG7,M5_NoLSTM,42,0.21027195,0.34626326,32896176.0
UG7,M5_NoLSTM,123,0.17145434,0.29496035,26823330.0
UG7,M5_NoLSTM,456,0.18055105,0.28998023,28246474.0
UG7,M5_NoLSTM,789,0.20355295,0.31226766,31845022.0
UG7,M5_NoLSTM,2026,0.19720982,0.30551645,30852670.0
UG7,M5_NoLSTM,11,0.19354318,0.31252873,30279036.0
UG7,M5_NoLSTM,22,0.18246274,0.31466568,28545540.0
UG7,M5_NoLSTM,33,0.186614,0.3098567,29194996.0
UG7,M5_NoLSTM,44,0.1835691,0.28944448,28718630.0
UG7,M5_NoLSTM,55,0.17158394,0.30051172,26843606.0
Zone_J1,FC_NoLSTM,42,0.14610058069229126,0.28017598390579224,
Zone_J1,FC_NoLSTM,123,0.16538143157958984,0.29200130701065063,
Zone_J1,FC_NoLSTM,456,0.14834298193454742,0.2829754948616028,
Zone_J1,FC_NoLSTM,789,0.147292822599411,0.2883290648460388,
Zone_J1,FC_NoLSTM,2026,0.1598418802022934,0.3161979615688324,
Zone_J1,FC_NoLSTM,11,0.13274717330932617,0.26274049282073975,
Zone_J1,FC_NoLSTM,22,0.1773710995912552,0.3176373243331909,
Zone_J1,FC_NoLSTM,33,0.15248656272888184,0.2900351285934448,
Zone_J1,FC_NoLSTM,44,0.1489676535129547,0.2963424324989319,
Zone_J1,FC_NoLSTM,55,0.1444372683763504,0.2803967297077179,
Zone_J1,M5_NoLSTM,42,0.1393551379442215,0.2637420892715454,
